codigo;sum_trx;mean_trx;sum_monto;mean_monto;clientes_unicos;trx_percapita;monto_percapita
738000115;394;2;69530252671;332680635;190;2,074;365948698
738000119;2208;5;151530361688;325172450;310;7,123;488807618
738000350;8;4;47241556;23620778;2;4,000;23620778
738000351;491;3;204541326049;1254854761;111;4,423;1842714649
738000362;6248;4;503828598046;347947927;702;8,900;717704556
738000363;8;1;1870312711;311718785;6;1,333;311718785
738000365;42;2;306010305;15300515;15;2,800;20400687
738000366;5514;4;32747285900;21072900;812;6,791;40329170
738000377;8595;3;588293590315;186345768;1498;5,738;392719353
738000378;79;2;573081879;12458302;44;1,795;13024588
738000379;1137;4;1228379415;3791294;286;3,976;4295033
738000380;725;4;4172711082;24119717;149;4,866;28004772
738000381;71;5;390487642;26032509;15;4,733;26032509
738000383;4997;3;21998378671;11789056;829;6,028;26536042
738000384;129;2;780657271;9293539;82;1,573;9520211
738000386;718;3;196292872623;925909777;151;4,755;1299952799
738000388;39;2;254308708;10172348;24;1,625;10596196
738000389;51;3;341707732;22780515;15;3,400;22780515
738000390;126;4;34416747400;1012257276;32;3,938;1075523356
738000397;719;2;46814891035;131502503;235;3,060;199212302
738000399;363;4;226926933263;2246801319;95;3,821;2388704561
738000400;9909;4;452431694660;184364994;976;10,153;463557064
738000401;254;2;10048302540;75551147;96;2,646;104669818
738000403;630;4;110891170428;644716107;123;5,122;901554231
738000404;111;2;16347018722;240397334;65;1,708;251492596
738000407;10728;2;295053008157;67797107;1756;6,109;168025631
738000408;232;3;96535051;1322398;72;3,222;1340765
738000412;3010;6;90439919535;169680900;380;7,921;237999788
738000413;87;2;602758132;11591503;46;1,891;13103438
738001426;205;2;35790603209;426078610;78;2,628;458853887
738001427;103;2;11906243310;188987989;57;1,807;208881462
738001428;242;4;85196737;1549032;53;4,566;1607486
738001440;415;2;23765907109;99856753;187;2,219;127090412
738001441;306;2;1955749141;11175709;150;2,040;13038328
738001442;1561;4;5507424787;12778248;307;5,085;17939494
738002245;98;10;568970785;56897078;10;9,800;56897078
738002246;12;2;75471117;12578520;6;2,000;12578520
738002274;34;1;11099222608;426893177;20;1,700;554961130
738002275;1207;3;965705541;2155593;425;2,840;2272248
738002459;28;2;156734340;9219667;17;1,647;9219667
738012975;1;1;7642699;7642699;1;1,000;7642699
738013838;13;2;4693462802;782243800;6;2,167;782243800
738017956;2;1;14790976;7395488;2;1,000;7395488
738017969;1011;5;24992084966;117333732;162;6,241;154272129
738018074;1184;5;15081964257;58231522;187;6,332;80652215
738018187;3313;4;15292357457;16478833;551;6,013;27753825
738068452;1831;3;120364950526;225402529;429;4,268;280570980
